,idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
18,25,42,white,married,0,14.0,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,9.581316,40.0,17.75,5.4166665
19,36,37,white,single,1,12.0,not college grad,0,SMSA,0,Business/Repair Svc,Clerical/unskilled,,4.180602,40.0,15.935898,0.9166667
20,39,44,white,single,0,16.0,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.790657,40.0,8.839744,7.9166665
21,44,41,white,married,0,18.0,college grad,0,SMSA,0,Public Administration,Professional/technical,union,28.45666,35.0,16.205128,3.5
22,45,35,white,married,0,12.0,not college grad,0,SMSA,0,Transport/Comm/Utility,Sales,union,10.185181,38.0,17.25,17.25
23,46,44,white,married,0,18.0,college grad,0,SMSA,0,Professional Services,Sales,nonunion,3.051529,25.0,5.544872,2.9166667
24,47,35,white,single,0,12.0,not college grad,0,SMSA,0,Transport/Comm/Utility,Craftsmen,nonunion,3.5265677,40.0,8.737179,0.75
25,48,35,white,single,0,15.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,,5.852843,40.0,5.5576925,0.33333334
26,50,36,white,single,0,16.0,college grad,0,SMSA,1,Professional Services,Professional/technical,,35.731617,45.0,9.423077,6.4166665
27,51,38,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,4.4283414,18.0,10.269231,3.25
28,54,40,white,single,1,12.0,not college grad,0,SMSA,1,Professional Services,Laborers,nonunion,5.032206,55.0,10.397436,0.75
29,57,42,white,married,0,12.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,5.780996,40.0,12.846154,7.25
30,62,38,white,married,0,10.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,5.1127205,40.0,7.3653846,5.9166665
31,63,44,white,single,0,15.0,college grad,0,SMSA,1,Professional Services,Professional/technical,union,25.1606,18.0,10.384615,2.0833333
32,64,38,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,union,4.404185,30.0,7.384615,3.3333333
33,66,39,white,married,0,13.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,nonunion,4.7101436,9.0,11.480769,9.75
34,67,40,white,married,0,15.0,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8.05153,24.0,11.038462,3.1666667
35,70,36,white,married,0,13.0,not college grad,0,nonSMSA,0,Transport/Comm/Utility,Sales,nonunion,16.739124,38.0,16.083334,16.083334
36,71,34,white,married,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Sales,nonunion,5.7246356,38.0,10.5,2.5
37,72,36,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,union,7.458193,40.0,9.442307,1.0833334
38,73,36,white,single,1,14.0,not college grad,0,nonSMSA,0,Manufacturing,Sales,,6.793478,40.0,14.442307,0.5
39,75,39,black,single,0,11.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,union,12.500001,40.0,14.499999,9.333333
40,78,40,white,married,0,12.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,17.697258,35.0,16.326923,9.083333
41,80,45,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,12.077295,8.0,5.717949,0.0
42,85,38,white,single,0,11.0,not college grad,0,SMSA,1,Manufacturing,Sales,,9.406354,40.0,6.1923075,1.5
43,86,44,white,single,1,17.0,college grad,0,SMSA,0,Entertainment/Rec Svc,Laborers,union,13.172291,44.0,16.26923,1.25
44,103,36,white,married,0,18.0,college grad,0,SMSA,1,Professional Services,Other,union,11.062799,35.0,9.833333,0.0
45,104,41,white,married,0,17.0,college grad,0,SMSA,0,Professional Services,Other,nonunion,3.7439594,18.0,8.948718,2.75
46,105,41,white,married,0,16.0,college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.025765,8.0,8.788462,5.5833335
47,106,38,black,single,0,12.0,not college grad,1,SMSA,1,Public Administration,Sales,nonunion,10.8373575,40.0,17.416666,17.416666
48,107,43,black,single,0,8.0,not college grad,0,SMSA,1,Manufacturing,Operatives,union,4.347824,40.0,7.5448713,1.0833334
49,110,45,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,union,4.7101436,20.0,6.6602564,2.5833333
50,121,39,black,married,0,12.0,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,union,9.726243,38.0,20.698719,20.666666
51,123,41,other,single,0,6.0,not college grad,0,SMSA,1,Business/Repair Svc,Operatives,union,2.8985493,37.0,7.320513,0.75
52,126,39,black,single,0,12.0,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.064413,40.0,19.75,19.75
53,128,36,white,married,0,12.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,8.518515,40.0,19.032053,19.0
54,129,43,white,single,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.49436,37.0,14.230769,10.166667
55,130,43,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,5.600358,40.0,6.1538463,0.6666667
56,131,41,white,single,0,12.0,not college grad,0,SMSA,1,Professional Services,Sales,union,4.227053,38.0,12.26282,0.25
57,132,36,white,single,0,10.0,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,5.6199675,43.0,10.24359,2.6666667
58,134,42,white,married,0,12.0,not college grad,0,SMSA,0,Public Administration,Managers/admin,nonunion,4.64573,30.0,6.1282053,1.5
59,137,36,black,married,0,17.0,college grad,0,SMSA,0,Professional Services,Other,union,15.48309,30.0,9.833333,9.833333
60,139,44,black,single,0,9.0,not college grad,0,SMSA,1,Professional Services,Sales,union,4.830918,35.0,8.5,8.5
61,141,43,white,single,0,14.0,not college grad,0,SMSA,0,Professional Services,Sales,,40.198082,40.0,12.910256,1.1666666
62,142,43,white,married,0,18.0,college grad,0,SMSA,0,Professional Services,Professional/technical,union,15.48309,40.0,15.115384,5.75
63,143,37,white,married,0,15.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,10.033444,40.0,7.0769234,0.5833333
64,144,43,white,married,0,10.0,not college grad,1,SMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,3.6231885,40.0,14.326923,0.33333334
65,147,40,white,married,0,12.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,9.299514,20.0,7.666667,3.0833333
66,152,37,white,married,0,18.0,college grad,0,SMSA,0,Professional Services,Other,union,10.217388,50.0,13.673077,4.8333335
67,159,36,white,married,0,11.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,10.008045,37.0,17.397436,17.333334
68,166,38,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Other,nonunion,4.227053,4.0,10.602565,1.0833334
69,167,37,white,married,0,13.0,not college grad,1,nonSMSA,0,Construction,Sales,nonunion,4.830918,25.0,16.980768,7.5
70,168,41,white,married,0,17.0,college grad,1,SMSA,0,Professional Services,Other,nonunion,7.745568,40.0,11.301282,3.8333333
71,169,36,white,single,0,16.0,college grad,0,SMSA,0,Professional Services,Other,union,9.847019,37.0,14.833333,14.833333
72,172,44,white,married,0,15.0,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.869566,30.0,17.833334,3.4166667
73,173,43,black,single,0,12.0,not college grad,0,SMSA,1,Personal Services,Transport,,3.220612,35.0,11.506411,2.9166667
74,176,38,black,single,1,12.0,not college grad,0,SMSA,1,Public Administration,Professional/technical,union,8.164251,40.0,12.846153,3.5
75,183,43,white,single,0,12.0,not college grad,0,SMSA,0,Manufacturing,Managers/admin,union,8.454107,40.0,17.121796,13.25
76,184,41,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.293073,40.0,13.788462,12.083333
77,188,41,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,union,9.677936,40.0,13.26923,8.416667
78,195,36,white,married,0,12.0,not college grad,0,SMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,4.5330095,40.0,12.801282,2.1666667
79,202,36,white,single,0,14.0,not college grad,1,nonSMSA,0,Wholesale/Retail Trade,Laborers,,3.3444817,30.0,11.551282,0.25
80,203,41,white,married,0,11.0,not college grad,1,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,8.454107,24.0,19.00641,3.1666667
81,204,38,black,married,0,10.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,nonunion,6.0386477,40.0,5.5961537,4.0
82,206,37,white,married,0,14.0,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.32206,18.0,10.333333,1.3333334
83,207,38,black,single,1,18.0,college grad,0,SMSA,1,Professional Services,Professional/technical,union,11.610305,50.0,13.269231,2.0833333
84,210,37,black,single,0,11.0,not college grad,0,SMSA,0,Manufacturing,Operatives,,5.0167227,40.0,15.641026,10.916667
85,213,43,white,single,0,10.0,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,6.441224,40.0,16.903847,14.416667
86,215,36,white,single,1,16.0,college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,5.032206,40.0,15.852564,3.75
87,218,35,white,married,0,12.0,not college grad,0,nonSMSA,0,Professional Services,Managers/admin,nonunion,4.830918,38.0,10.115384,2.0833333
88,219,35,white,single,1,13.0,not college grad,0,SMSA,1,Professional Services,Laborers,nonunion,11.070854,40.0,16.858974,8.916667
89,221,40,white,married,0,16.0,college grad,0,SMSA,0,Manufacturing,Professional/technical,nonunion,8.317226,35.0,9.256411,1.8333334
90,223,37,white,single,0,16.0,college grad,0,SMSA,0,Entertainment/Rec Svc,Professional/technical,nonunion,13.083735,40.0,15.916667,8.75
91,224,38,white,married,0,13.0,not college grad,0,SMSA,0,Professional Services,Sales,union,5.628018,40.0,10.788462,4.6666665
92,225,35,white,single,0,16.0,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,12.560386,45.0,16.692308,15.75
93,226,34,white,married,0,16.0,college grad,1,SMSA,0,Public Administration,Professional/technical,nonunion,6.682766,40.0,7.6923075,6.6666665
94,227,42,white,single,0,15.0,not college grad,1,SMSA,1,Manufacturing,Sales,nonunion,5.6360707,40.0,18.788462,1.3333334
95,228,42,white,married,0,16.0,college grad,1,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,4.025765,15.0,4.980769,0.33333334
96,231,42,white,married,0,16.0,college grad,0,SMSA,0,Business/Repair Svc,Sales,nonunion,18.067625,30.0,10.589743,9.833333
97,233,36,white,married,0,16.0,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,5.8051524,40.0,13.923077,13.916667
98,236,36,white,married,0,18.0,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,24.661829,20.0,9.480769,3.75
99,237,36,white,single,1,17.0,college grad,0,SMSA,1,Professional Services,Sales,union,7.21417,40.0,12.096154,1.75
100,242,39,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Operatives,union,4.694041,24.0,15.301282,8.75
101,243,35,white,married,0,18.0,college grad,0,SMSA,0,Public Administration,Managers/admin,union,12.697259,40.0,17.49359,8.583333
102,244,36,white,single,1,13.0,not college grad,1,nonSMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,9.565216,40.0,16.269232,11.25
103,245,36,white,married,0,15.0,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,6.191625,40.0,9.846154,1.0
104,250,44,white,married,0,18.0,college grad,1,SMSA,0,Professional Services,Other,nonunion,7.6811533,50.0,9.064103,3.9166667
105,254,39,white,single,0,12.0,not college grad,1,SMSA,0,Professional Services,Professional/technical,nonunion,9.806758,40.0,16.307692,9.75
106,255,45,black,married,0,14.0,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,nonunion,4.025765,40.0,24.75,24.75
107,257,38,black,married,0,16.0,college grad,1,SMSA,1,Professional Services,Professional/technical,union,11.610305,40.0,11.653846,2.75
108,260,38,white,single,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,6.964568,40.0,10.871796,2.5
109,261,41,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,union,4.2592573,40.0,5.365384,2.8333333
110,262,44,white,single,0,14.0,not college grad,1,SMSA,0,Professional Services,Managers/admin,,4.5088553,40.0,14.576923,1.25
111,265,44,white,single,0,14.0,not college grad,1,SMSA,1,Professional Services,Professional/technical,nonunion,9.227052,40.0,11.019231,0.75
112,269,40,white,married,0,16.0,college grad,0,SMSA,0,Professional Services,Other,union,3.3172295,14.0,7.6538463,1.75
113,270,38,white,married,0,16.0,college grad,0,SMSA,1,Professional Services,Laborers,union,8.05153,40.0,16.448717,10.666667
114,271,36,white,single,1,11.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,5.1127205,40.0,11.333333,11.333333
115,273,42,white,married,0,12.0,not college grad,0,SMSA,0,Business/Repair Svc,Laborers,,3.5535119,20.0,9.019231,0.33333334
116,275,38,white,married,0,10.0,not college grad,0,SMSA,1,Manufacturing,Operatives,,1.0049518,16.0,7.480769,1.0
117,276,35,white,married,0,12.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,7.318838,22.0,16.166666,16.166666
118,279,35,white,married,0,16.0,college grad,0,SMSA,0,Wholesale/Retail Trade,Other,,9.891299,55.0,15.557693,6.25
119,285,38,white,married,0,13.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,5.8856664,50.0,10.102564,2.5833333
120,287,41,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,union,4.8631215,15.0,5.519231,0.75
121,289,44,white,married,0,12.0,not college grad,0,nonSMSA,0,Construction,Sales,,2.801002,46.0,19.134615,0.75
122,291,42,white,single,0,12.0,not college grad,0,SMSA,1,Professional Services,Laborers,,3.0518394,40.0,7.5961537,4.5833335
123,294,34,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,5.6360707,30.0,15.608974,1.75
124,296,44,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,8.80837,32.0,15.230769,11.416667
125,298,37,white,married,0,16.0,college grad,1,SMSA,1,Finance/Ins/Real Estate,Managers/admin,nonunion,23.24476,40.0,12.070512,2.25
126,299,41,black,single,0,16.0,college grad,0,SMSA,1,Finance/Ins/Real Estate,Professional/technical,nonunion,12.222217,38.0,12.153846,6.75
127,301,38,white,single,1,18.0,college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,12.971002,40.0,14.903846,6.5
128,305,40,white,married,0,16.0,college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,15.789039,40.0,15.807693,15.5
129,306,37,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,6.964568,40.0,16.833332,13.416667
130,307,35,white,single,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,,4.3886213,22.0,13.833333,2.3333333
131,308,37,white,married,0,18.0,college grad,0,SMSA,0,Professional Services,Professional/technical,,11.148272,50.0,14.173077,0.75
132,312,36,white,married,0,15.0,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.661837,16.0,9.653846,0.6666667
133,315,38,white,single,0,16.0,college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,29.726234,50.0,14.884615,1.5
134,319,45,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Laborers,union,4.492752,18.0,8.346154,2.6666667
135,322,41,white,single,0,14.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Operatives,,6.6889634,16.0,12.096154,0.8333333
136,324,44,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,,5.852843,25.0,7.3653846,0.9166667
137,325,34,white,single,1,12.0,not college grad,1,SMSA,0,Transport/Comm/Utility,Laborers,union,4.6135263,60.0,16.115385,3.25
138,327,38,white,single,0,9.0,not college grad,0,SMSA,1,Business/Repair Svc,Laborers,nonunion,4.025765,30.0,3.8525643,
139,329,42,black,single,1,14.0,not college grad,0,SMSA,1,Professional Services,Professional/technical,union,12.181962,40.0,19.076923,2.5
140,330,43,black,single,0,16.0,college grad,1,nonSMSA,0,Professional Services,Sales,union,4.7504005,40.0,16.115385,0.6666667
141,331,37,black,single,0,15.0,not college grad,0,SMSA,1,Manufacturing,Operatives,union,8.05153,40.0,13.397435,12.416667
142,332,36,black,single,1,9.0,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,7.4476643,40.0,10.903846,4.75
143,333,35,black,married,0,16.0,college grad,0,SMSA,1,Professional Services,Professional/technical,union,8.518515,40.0,13.769231,11.5
144,338,41,white,married,0,14.0,not college grad,0,nonSMSA,0,Professional Services,Sales,nonunion,7.2463775,18.0,9.019231,1.3333334
145,341,41,black,married,0,14.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,11.97262,40.0,17.602562,6.1666665
146,345,45,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.80837,32.0,10.198718,5.0833335
147,347,36,white,married,0,14.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,11.070854,40.0,17.096153,17.0
148,350,39,black,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.677936,40.0,16.51923,2.4166667
149,352,35,white,married,0,13.0,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,3.5426712,20.0,14.365385,14.166667
150,354,36,white,single,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Laborers,nonunion,4.420288,35.0,7.128205,2.5
151,356,43,white,married,0,16.0,college grad,0,SMSA,0,Business/Repair Svc,Managers/admin,nonunion,7.318838,40.0,10.403847,9.75
152,358,45,white,married,0,12.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Managers/admin,nonunion,8.05153,40.0,24.474358,17.416666
153,359,44,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,10.8373575,40.0,15.057693,6.0
154,360,37,white,married,0,12.0,not college grad,0,SMSA,1,Manufacturing,Sales,,38.70926,40.0,15.243589,10.75
155,363,41,white,single,0,12.0,not college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,9.895326,36.0,11.602564,9.25
156,367,37,white,married,0,13.0,not college grad,0,nonSMSA,0,Professional Services,Sales,union,10.354262,35.0,8.083333,8.083333
157,376,41,white,single,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,11.5056305,42.0,17.50641,17.5
158,377,38,white,married,0,16.0,college grad,1,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,23.824474,65.0,13.564102,3.8333333
159,379,43,white,single,1,13.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,7.5523334,40.0,21.737179,20.166666
160,382,42,white,single,0,12.0,not college grad,0,SMSA,0,Public Administration,Managers/admin,union,7.962963,35.0,21.326925,1.5833334
161,384,41,white,married,0,13.0,not college grad,0,SMSA,0,Professional Services,Other,nonunion,4.830918,25.0,7.134616,
162,389,40,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,5.466986,15.0,1.75,0.083333336
163,392,43,white,married,0,8.0,not college grad,0,SMSA,0,Manufacturing,Operatives,union,8.05153,40.0,8.865385,2.75
164,395,36,white,single,1,16.0,college grad,0,nonSMSA,0,Manufacturing,Clerical/unskilled,nonunion,6.5458913,40.0,16.365385,13.75
165,396,37,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,3.260869,32.0,13.711538,1.9166666
166,397,37,white,married,0,13.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,4.830918,20.0,12.942307,0.75
167,398,35,white,married,0,16.0,college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,8.413847,40.0,11.403846,6.4166665
168,399,37,white,married,0,16.0,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,16.529789,40.0,16.76923,0.0
169,402,36,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Operatives,union,6.175522,40.0,13.589743,9.25
170,403,40,white,single,1,12.0,not college grad,0,SMSA,0,Public Administration,Sales,nonunion,5.7326884,40.0,10.5,10.5
171,406,36,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,6.280193,40.0,13.198718,0.5
172,407,37,white,married,0,18.0,college grad,0,nonSMSA,0,Professional Services,Professional/technical,,1.0322473,15.0,9.307693,4.5833335
173,409,36,white,married,0,14.0,not college grad,0,SMSA,1,Professional Services,Sales,,5.958131,26.0,12.006411,1.6666666
174,410,43,white,single,0,14.0,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,10.185181,42.0,11.935898,2.5
175,414,36,white,married,0,16.0,college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,5.515297,39.0,15.108974,5.5
176,415,35,white,single,1,15.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,5.7890487,50.0,9.269231,3.3333333
177,417,34,white,married,0,12.0,not college grad,0,SMSA,0,Personal Services,Laborers,nonunion,3.3444817,20.0,7.8397436,0.16666667
178,419,36,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,6.280193,40.0,8.5,2.3333333
179,422,36,white,single,1,11.0,not college grad,0,SMSA,0,Personal Services,Transport,nonunion,1.7230269,35.0,12.589744,7.1666665
180,423,42,white,single,0,12.0,not college grad,1,nonSMSA,0,Personal Services,Managers/admin,nonunion,3.4866207,30.0,12.455128,5.1666665
181,425,34,white,single,0,12.0,not college grad,0,nonSMSA,0,Manufacturing,Operatives,,3.6371226,40.0,8.807693,1.0
182,426,40,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,nonunion,2.6811595,30.0,1.1282052,0.41666666
183,429,43,white,married,0,13.0,not college grad,1,SMSA,0,Professional Services,Sales,nonunion,7.745568,40.0,5.852564,3.0833333
184,431,36,white,single,1,16.0,college grad,0,nonSMSA,0,Public Administration,Professional/technical,union,11.409016,38.0,15.974359,8.333333
185,432,37,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Operatives,nonunion,7.0370355,55.0,9.217949,6.75
186,433,43,white,married,0,13.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,6.6586123,40.0,13.2756405,1.8333334
187,434,34,white,single,1,12.0,not college grad,0,SMSA,0,Personal Services,Laborers,,3.0518394,30.0,6.9166665,1.1666666
188,436,37,white,married,0,12.0,not college grad,0,SMSA,0,Public Administration,Sales,nonunion,7.850241,40.0,18.25,18.25
189,440,37,white,married,0,11.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,8.148145,38.0,13.288462,2.8333333
190,441,42,white,married,0,9.0,not college grad,0,SMSA,0,Personal Services,Laborers,nonunion,7.2463775,16.0,1.923077,0.083333336
191,443,37,white,married,0,13.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Clerical/unskilled,nonunion,5.6360707,20.0,10.916667,1.75
192,447,39,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,11.046693,37.0,14.185897,4.0
193,448,38,white,single,0,16.0,college grad,0,nonSMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,11.626405,45.0,9.211538,4.1666665
194,449,45,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.623189,42.0,8.807693,6.9166665
195,450,39,white,married,0,14.0,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,11.25418,20.0,17.673077,10.75
196,451,40,white,single,0,10.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Laborers,nonunion,5.2415447,43.0,5.7756414,5.75
197,455,39,white,married,0,13.0,not college grad,0,SMSA,1,Personal Services,Laborers,nonunion,9.202893,7.0,10.961538,2.0
198,456,36,white,married,0,12.0,not college grad,0,SMSA,1,Wholesale/Retail Trade,Operatives,,3.7625415,30.0,7.0384617,0.33333334
199,457,38,white,married,0,14.0,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,,35.731617,45.0,9.557693,2.3333333
200,459,38,white,single,1,8.0,not college grad,0,SMSA,0,Professional Services,Laborers,,5.852843,30.0,19.192308,9.666667
201,460,42,white,married,0,13.0,not college grad,0,nonSMSA,0,Ag/Forestry/Fisheries,Sales,,3.0991251,3.0,6.9038463,1.5
202,467,41,white,single,0,14.0,not college grad,0,nonSMSA,0,Public Administration,Sales,union,7.2383237,40.0,17.46154,8.333333
203,469,35,white,single,0,11.0,not college grad,0,nonSMSA,0,Public Administration,Sales,nonunion,6.771333,48.0,15.448718,9.916667
204,474,35,white,married,0,12.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,2.8582926,20.0,7.275641,1.5833334
205,477,42,white,married,0,12.0,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,3.0998378,30.0,10.352564,2.25
206,478,38,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,6.5861454,32.0,5.897436,1.8333334
